Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,Early  device  debugging,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Cool  to  Freeze,342,11.91,-10.0,30.7,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,344,11.84,-10.0,30.7,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,347,11.78,-10.0,30.71,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,350,11.71,-10.0,30.71,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,352,11.64,-10.0,30.72,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,355,11.59,-10.0,30.76,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,357,11.53,-10.0,30.81,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,360,11.49,-10.0,30.87,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,362,11.43,-10.0,30.9,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,365,11.36,-10.0,30.92,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,367,11.31,-10.0,30.92,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,370,11.25,-10.0,30.88,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,373,11.2,-10.0,30.88,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,375,11.13,-10.0,30.83,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,378,11.05,-10.0,30.81,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,380,11.01,-10.0,30.82,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,383,10.95,-10.0,30.86,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,385,10.88,-10.0,30.84,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,388,10.82,-10.0,30.84,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,390,10.78,-10.0,30.82,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
2,Cool  to  Freeze,393,10.73,-10.0,30.79,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,2000.0,0.0,UL,Try  to  freeze  for  1hr
